,FIELD_GOAL_MADE,FIELD_GOAL_MISSED,FREE_THROW,REBOUND,TURNOVER,FOUL,VIOLATION,SUBSTITUTION,EJECTION,FIELD_GOAL_MADE_DIFF,FIELD_GOAL_MISSED_DIFF,FREE_THROW_DIFF,REBOUND_DIFF,TURNOVER_DIFF,FOUL_DIFF,TEAM_NAME,GAME_ID,WL
70,15,24,5,18,15,11,2,12,0,-8,0,-1,-7,5,2,Spurs,0022300099,L
71,23,24,6,25,10,9,0,14,0,8,0,1,7,-5,-2,Clippers,0022300099,W
72,16,30,8,19,4,7,0,12,0,-5,7,3,-8,-4,-2,Rockets,0022300096,L
73,21,23,5,27,8,9,0,11,0,5,-7,-3,8,4,2,Warriors,0022300096,W
74,17,26,23,25,6,8,0,11,0,-10,2,18,4,1,-5,Lakers,0022300100,L
75,27,24,5,21,5,13,1,12,0,10,-2,-18,-4,-1,5,Kings,0022300100,W
76,17,31,14,25,9,11,0,12,0,-9,5,6,-3,3,2,Bucks,0022300097,L
77,26,26,8,28,6,9,0,11,0,9,-5,-6,3,-3,-2,Hawks,0022300097,W
78,28,24,11,30,3,9,0,11,0,8,-6,1,14,1,-2,Nuggets,0022300095,W
79,20,30,10,16,2,11,1,10,0,-8,6,-1,-14,-1,2,Thunder,0022300095,L
80,23,24,9,27,7,7,1,13,0,0,-3,4,5,1,0,Warriors,0022300108,W
81,23,27,5,22,6,7,0,10,0,0,3,-4,-5,-1,0,Pelicans,0022300108,L
82,16,29,13,26,9,11,0,14,0,-4,6,-2,1,2,2,Pistons,0022300109,L
83,20,23,15,25,7,9,3,13,0,4,-6,2,-1,-2,-2,Thunder,0022300109,W
84,19,24,3,21,9,9,0,11,0,-1,3,-7,-1,2,3,Trail Blazers,0022300105,W
85,20,21,10,22,7,6,1,12,0,1,-3,7,1,-2,-3,Raptors,0022300105,L
86,17,25,14,19,7,8,0,10,0,-6,1,4,-4,-1,-5,Heat,0022300107,L
87,23,24,10,23,8,13,0,12,0,6,-1,-4,4,1,5,Bucks,0022300107,W
88,21,24,10,21,8,14,0,12,0,-2,6,2,4,-2,4,Magic,0022300111,L
89,23,18,8,17,10,10,0,11,0,2,-6,-2,-4,2,-4,Lakers,0022300111,W
90,23,22,8,23,8,10,1,11,0,0,-1,-6,2,2,1,Mavericks,0022300106,W
91,23,23,14,21,6,9,0,10,0,0,1,6,-2,-2,-1,Grizzlies,0022300106,L
92,20,23,12,20,6,11,1,12,0,2,2,-2,-2,-3,2,Pacers,0022300102,L
93,18,21,14,22,9,9,0,12,0,-2,-2,2,2,3,-2,Bulls,0022300102,W
94,21,21,9,13,6,8,0,11,0,-10,6,1,-6,4,-3,Hawks,0022300104,W
95,31,15,8,19,2,11,0,11,0,10,-6,-1,6,-4,3,Timberwolves,0022300104,L
96,21,27,8,19,5,11,0,11,0,-3,8,-8,-8,-3,1,Hornets,0022300101,L
97,24,19,16,27,8,10,0,13,0,3,-8,8,8,3,-1,Nets,0022300101,W
98,31,22,6,25,6,7,1,9,0,10,-2,0,5,-4,1,Celtics,0022300103,W
99,21,24,6,20,10,6,1,10,0,-10,2,0,-5,4,-1,Wizards,0022300103,L
100,17,29,11,28,8,9,1,12,0,-8,5,9,3,3,-2,Jazz,0022300110,L
101,25,24,2,25,5,11,0,15,0,8,-5,-9,-3,-3,2,Nuggets,0022300110,W
102,19,22,7,23,11,17,0,11,0,4,-8,-10,0,3,10,Magic,0022300114,L
103,15,30,17,23,8,7,1,11,0,-4,8,10,0,-3,-10,Clippers,0022300114,W
104,21,26,10,23,7,9,0,11,0,1,-3,2,-2,1,1,Knicks,0022300112,W
105,20,29,8,25,6,8,1,12,0,-1,3,-2,2,-1,-1,Cavaliers,0022300112,L
106,17,28,9,18,8,9,1,13,0,-7,6,3,-7,-1,-1,Spurs,0022300113,W
107,24,22,6,25,9,10,0,11,0,7,-6,-3,7,1,1,Suns,0022300113,L
108,22,19,8,16,8,11,1,14,0,3,-3,-5,-6,0,2,Warriors,0022300126,W
109,19,22,13,22,8,9,0,13,0,-3,3,5,6,0,-2,Kings,0022300126,L
110,26,22,14,28,6,8,1,11,0,1,-3,11,14,1,-3,Celtics,0022300118,W
111,25,25,3,14,5,11,0,15,0,-1,3,-11,-14,-1,3,Pacers,0022300118,L
112,18,22,6,18,12,11,1,11,0,-7,3,-4,-3,5,2,Lakers,0022300127,W
113,25,19,10,21,7,9,0,10,0,7,-3,4,3,-5,-2,Clippers,0022300127,L
114,23,23,13,23,6,8,1,9,0,5,-6,7,-2,-4,-2,Timberwolves,0022300123,W
115,18,29,6,25,10,10,0,12,0,-5,6,-7,2,4,2,Nuggets,0022300123,L
116,26,22,5,32,10,11,0,15,0,13,-5,-13,16,3,3,Raptors,0022300116,W
117,13,27,18,16,7,8,2,12,0,-13,5,13,-16,-3,-3,Bucks,0022300116,L
118,19,28,11,30,7,14,2,19,0,5,-12,-3,-4,1,5,Thunder,0022300121,L
119,14,40,14,34,6,9,0,15,0,-5,12,3,4,-1,-5,Pelicans,0022300121,W
120,22,21,11,19,9,9,0,14,0,-2,0,4,-2,-2,-1,Rockets,0022300122,W
121,24,21,7,21,11,10,0,9,0,2,0,-4,2,2,1,Hornets,0022300122,L
122,18,23,11,21,6,5,0,13,0,-2,-1,7,-3,0,-5,Mavericks,0022300124,W
123,20,24,4,24,6,10,0,13,0,2,1,-7,3,0,5,Bulls,0022300124,L
124,17,26,14,22,10,5,0,11,0,-6,4,9,1,2,-11,Trail Blazers,0022300115,W
125,23,22,5,21,8,16,0,13,0,6,-4,-9,-1,-2,11,Pistons,0022300115,L
126,16,21,10,19,8,14,0,14,0,-3,-7,-3,-9,1,7,Cavaliers,0022300120,W
127,19,28,13,28,7,7,0,11,0,3,7,3,9,-1,-7,Knicks,0022300120,L
128,13,33,14,12,9,14,0,16,0,-14,21,0,-14,-3,5,Grizzlies,0022300125,L
129,27,12,14,26,12,9,0,12,0,14,-21,0,14,3,-5,Jazz,0022300125,W
130,20,23,11,27,12,9,0,10,0,4,-5,0,7,2,1,Heat,0022300119,L
131,16,28,11,20,10,8,0,14,0,-4,5,0,-7,-2,-1,Nets,0022300119,W
132,25,26,5,33,9,7,0,10,0,4,-7,1,12,5,2,Hawks,0022300117,W
133,21,33,4,21,4,5,0,13,0,-4,7,-1,-12,-5,-2,Wizards,0022300117,L
134,21,17,10,17,11,9,0,11,0,-8,-7,5,-4,7,-1,Suns,0022300131,L
135,29,24,5,21,4,10,1,16,0,8,7,-5,4,-7,1,Spurs,0022300131,W
136,20,23,15,21,7,11,0,9,0,2,1,6,-2,-3,-1,76ers,0022300128,W
137,18,22,9,23,10,12,1,14,0,-2,-1,-6,2,3,1,Raptors,0022300128,L
138,22,24,14,25,11,14,0,15,0,0,-2,-5,1,3,2,Jazz,0022300130,L
139,22,26,19,24,8,12,0,12,0,0,2,5,-1,-3,-2,Magic,0022300130,W
140,24,16,18,23,4,6,0,14,0,5,-16,11,-1,-4,-10,Pelicans,0022300129,W
141,19,32,7,24,8,16,1,17,0,-5,16,-11,1,4,10,Pistons,0022300129,L
142,26,20,14,23,9,7,0,11,0,4,-3,7,6,1,-6,Pacers,0022300001,W
143,22,23,7,17,8,13,0,15,0,-4,3,-7,-6,-1,6,Cavaliers,0022300001,L
144,23,23,3,17,5,4,0,12,0,0,6,-3,-2,-2,-3,Nets,0022300004,W
145,23,17,6,19,7,7,0,10,0,0,-6,3,2,2,3,Bulls,0022300004,L
146,16,35,12,34,6,10,0,13,0,-3,12,2,15,0,2,Knicks,0022300002,L
147,19,23,10,19,6,8,0,11,0,3,-12,-2,-15,0,-2,Bucks,0022300002,W
148,24,17,13,16,11,6,0,13,0,-1,-3,6,-3,-2,-4,Thunder,0022300005,L
149,25,20,7,19,13,10,0,14,0,1,3,-6,3,2,4,Warriors,0022300005,W
150,19,26,13,23,5,7,1,10,0,-2,2,5,2,-1,-3,Trail Blazers,0022300007,W
151,21,24,8,21,6,10,0,16,0,2,-2,-5,-2,1,3,Grizzlies,0022300007,L
152,24,16,6,19,9,7,1,11,0,2,-1,-1,4,-2,0,Heat,0022300003,W
153,22,17,7,15,11,7,1,11,0,-2,1,1,-4,2,0,Wizards,0022300003,L
154,26,20,11,25,11,10,0,11,0,6,-1,1,12,1,-1,Nuggets,0022300006,W
155,20,21,10,13,10,11,2,15,0,-6,1,-1,-12,-1,1,Mavericks,0022300006,L
156,18,19,9,14,11,13,0,11,0,-7,-7,-2,-13,2,4,Lakers,0022300134,L
157,25,26,11,27,9,9,1,10,0,7,7,2,13,-2,-4,Magic,0022300134,W
158,16,32,12,20,6,6,0,12,0,-3,8,1,-9,-6,-5,Suns,0022300132,L
159,19,24,11,29,12,11,0,8,0,3,-8,-1,9,6,5,76ers,0022300132,W
160,24,23,17,28,5,11,0,10,0,4,-9,3,7,5,-1,Celtics,0022300136,W
161,20,32,14,21,0,12,1,17,0,-4,9,-3,-7,-5,1,Nets,0022300136,L
162,22,23,14,23,6,5,1,12,0,1,-8,5,-8,-2,-6,Pelicans,0022300135,L
163,21,31,9,31,8,11,1,12,0,-1,8,-5,8,2,6,Hawks,0022300135,W
164,23,20,10,22,4,7,0,14,0,4,-10,8,-2,-3,-2,Timberwolves,0022300138,W
165,19,30,2,24,7,9,1,13,0,-4,10,-8,2,3,2,Jazz,0022300138,L
166,24,20,7,20,4,7,0,12,0,4,-3,0,0,-2,-3,Rockets,0022300137,W
167,20,23,7,20,6,10,1,12,0,-4,3,0,0,2,3,Kings,0022300137,L
168,18,36,6,23,7,11,0,13,0,-3,14,-5,-2,-2,3,Pacers,0022300133,L
169,21,22,11,25,9,8,0,13,0,3,-14,5,2,2,-3,Hornets,0022300133,W
170,18,24,12,20,8,10,1,12,0,1,3,-2,-2,-1,0,Bulls,0022300139,L
171,17,21,14,22,9,10,1,13,0,-1,-3,2,2,1,0,Nuggets,0022300139,W
172,27,20,10,24,5,12,2,15,0,11,-11,-6,3,1,3,Hornets,0022300143,L
173,16,31,16,21,4,9,0,13,0,-11,11,6,-3,-1,-3,Mavericks,0022300143,W
174,23,21,3,28,12,8,0,16,0,10,-7,-3,10,0,3,Spurs,0022300141,L
175,13,28,6,18,12,5,0,12,0,-10,7,3,-10,0,-3,Raptors,0022300141,W
176,24,22,12,22,6,12,1,14,0,3,-2,3,-2,-2,-2,Grizzlies,0022300144,W
177,21,24,9,24,8,14,0,10,0,-3,2,-3,2,2,2,Trail Blazers,0022300144,L
178,20,24,7,16,8,12,0,15,0,-2,-1,-6,-10,0,6,Pistons,0022300140,L
179,22,25,13,26,8,6,1,13,0,2,1,6,10,0,-6,Suns,0022300140,W
180,14,33,13,27,8,9,0,19,0,-6,7,0,-3,2,-1,Warriors,0022300142,L
181,20,26,13,30,6,10,0,16,0,6,-7,0,3,-2,1,Cavaliers,0022300142,W
182,29,21,14,26,5,17,0,13,0,9,-3,-8,10,1,8,Pacers,0022300146,W
183,20,24,22,16,4,9,0,13,0,-9,3,8,-10,-1,-8,Spurs,0022300146,L
184,19,19,4,25,14,10,0,13,0,-6,-9,-4,4,10,3,Jazz,0022300152,L
185,25,28,8,21,4,7,1,12,0,6,9,4,-4,-10,-3,Bulls,0022300152,W
186,28,19,6,19,3,5,0,12,0,4,-7,-2,-4,-1,-1,Pelicans,0022300156,L
187,24,26,8,23,4,6,0,12,0,-4,7,2,4,1,1,Nuggets,0022300156,W
188,21,26,11,21,9,11,0,10,0,-6,4,-2,-3,4,2,Wizards,0022300148,L
189,27,22,13,24,5,9,1,7,0,6,-4,2,3,-4,-2,76ers,0022300148,W
190,19,29,15,27,8,11,2,13,0,-1,5,6,6,-4,-2,Celtics,0022300154,L
191,20,24,9,21,12,13,0,9,0,1,-5,-6,-6,4,2,Timberwolves,0022300154,W
192,15,25,9,24,11,6,0,10,0,-3,5,4,5,1,0,Knicks,0022300151,W
193,18,20,5,19,10,6,0,14,0,3,-5,-4,-5,-1,0,Clippers,0022300151,L
194,24,27,7,21,4,5,0,11,0,-3,4,4,-2,0,-1,Bucks,0022300149,W
195,27,23,3,23,4,6,0,11,0,3,-4,-4,2,0,1,Nets,0022300149,L
196,20,27,10,29,6,9,1,15,0,4,-12,-5,-8,0,4,Thunder,0022300155,W
197,16,39,15,37,6,5,1,10,0,-4,12,5,8,0,-4,Hawks,0022300155,L
198,17,22,7,18,7,4,1,13,0,-7,-5,3,-7,1,-2,Pistons,0022300145,L
199,24,27,4,25,6,6,0,11,0,7,5,-3,7,-1,2,Warriors,0022300145,W
200,20,15,22,21,3,7,1,11,0,4,-12,18,3,-4,-10,Rockets,0022300153,W
201,16,27,4,18,7,17,0,14,0,-4,12,-18,-3,4,10,Kings,0022300153,L
202,19,19,12,10,10,12,0,12,0,-7,1,3,-10,-2,1,Mavericks,0022300147,W
203,26,18,9,20,12,11,0,10,0,7,-1,-3,10,2,-1,Magic,0022300147,L
204,24,22,7,21,4,9,0,11,0,0,3,-1,1,-3,0,Heat,0022300150,W
205,24,19,8,20,7,9,0,11,0,0,-3,1,-1,3,0,Lakers,0022300150,L
206,19,23,13,23,7,8,0,11,0,-1,-1,0,5,3,-2,Suns,0022300162,W
207,20,24,13,18,4,10,0,11,0,1,1,0,-5,-3,2,Bulls,0022300162,L
208,24,25,12,21,7,6,0,13,0,-1,2,7,-3,-4,-5,Pacers,0022300158,W
209,25,23,5,24,11,11,1,13,0,1,-2,-7,3,4,5,Jazz,0022300158,L
210,27,28,4,25,6,9,0,12,0,6,7,-3,3,-5,3,Raptors,0022300168,W
211,21,21,7,22,11,6,0,12,0,-6,-7,3,-3,5,-3,Mavericks,0022300168,L
212,17,21,17,23,9,9,0,12,0,1,-9,9,2,1,-3,Heat,0022300164,W
213,16,30,8,21,8,12,0,14,0,-1,9,-9,-2,-1,3,Grizzlies,0022300164,L
214,26,21,12,18,4,10,0,16,0,5,3,-7,-2,-7,0,Thunder,0022300167,W
215,21,18,19,20,11,10,1,12,0,-5,-3,7,2,7,0,Cavaliers,0022300167,L
216,25,27,9,25,2,3,0,10,0,3,5,6,5,-6,-6,Knicks,0022300161,W
217,22,22,3,20,8,9,0,12,0,-3,-5,-6,-5,6,6,Spurs,0022300161,L
218,27,21,9,26,6,15,0,16,0,11,-2,-7,9,-1,7,Rockets,0022300163,W
219,16,23,16,17,7,8,0,14,0,-11,2,7,-9,1,-7,Lakers,0022300163,L
220,21,28,10,25,8,14,0,17,0,1,5,-11,5,4,0,Pistons,0022300165,L
221,20,23,21,20,4,14,0,12,0,-1,-5,11,-5,-4,0,Bucks,0022300165,W
222,19,30,7,28,6,6,0,11,0,1,1,3,2,-3,-2,Clippers,0022300160,L
223,18,29,4,26,9,8,1,13,0,-1,-1,-3,-2,3,2,Nets,0022300160,W
224,24,26,9,29,5,11,0,11,0,5,-2,-5,6,0,4,76ers,0022300159,W
225,19,28,14,23,5,7,1,12,0,-5,2,5,-6,0,-4,Celtics,0022300159,L
226,18,25,12,22,7,11,1,17,0,-5,2,1,-3,1,-1,Hornets,0022300157,L
227,23,23,11,25,6,12,1,12,0,5,-2,-1,3,-1,1,Wizards,0022300157,W
228,18,22,7,22,7,8,1,12,0,-2,-9,1,-5,6,0,Warriors,0022300169,L
229,20,31,6,27,1,8,1,12,0,2,9,-1,5,-6,0,Nuggets,0022300169,W
230,20,20,19,19,6,11,0,10,0,-2,-6,7,-4,-1,-4,Trail Blazers,0022300170,L
231,22,26,12,23,7,15,0,18,0,2,6,-7,4,1,4,Kings,0022300170,W
232,17,26,7,17,10,9,0,10,0,-10,9,2,-4,3,0,Pelicans,0022300166,L
233,27,17,5,21,7,9,1,9,0,10,-9,-2,4,-3,0,Timberwolves,0022300166,W
234,23,15,20,16,12,15,1,13,0,-1,-9,0,-8,0,2,Hawks,0022300172,W
235,24,24,20,24,12,13,1,14,0,1,9,0,8,0,-2,Magic,0022300172,L
236,23,20,12,19,7,10,1,14,0,1,-6,3,-3,3,-3,Bucks,0022300171,L
237,22,26,9,22,4,13,0,13,0,-1,6,-3,3,-3,3,Pacers,0022300171,W
238,27,22,13,26,5,12,0,16,0,12,1,-6,8,-4,-6,Mavericks,0022300014,W
239,15,21,19,18,9,18,1,13,0,-12,-1,6,-8,4,6,Clippers,0022300014,L
240,23,26,11,26,2,6,0,11,0,4,2,5,2,-3,-3,Celtics,0022300010,W
241,19,24,6,24,5,9,0,11,0,-4,-2,-5,-2,3,3,Nets,0022300010,L
242,22,27,8,22,4,6,0,12,0,-1,3,2,-7,-5,0,Spurs,0022300013,L
243,23,24,6,29,9,6,0,12,0,1,-3,-2,7,5,0,Timberwolves,0022300013,W
244,26,31,9,30,4,7,1,13,0,3,12,0,11,-2,-2,Hornets,0022300009,W
245,23,19,9,19,6,9,1,11,0,-3,-12,0,-11,2,2,Wizards,0022300009,L
246,21,24,10,29,8,16,1,14,0,8,-6,-12,8,4,6,Pistons,0022300008,L
247,13,30,22,21,4,10,0,10,0,-8,6,12,-8,-4,-6,76ers,0022300008,W
248,25,26,4,17,7,11,1,15,0,0,12,-11,3,1,6,Grizzlies,0022300012,L
249,25,14,15,14,6,5,1,10,0,0,-12,11,-3,-1,-6,Jazz,0022300012,W
250,19,27,10,22,5,12,2,13,0,1,8,-5,0,-4,3,Rockets,0022300011,W
251,18,19,15,22,9,9,0,13,0,-1,-8,5,0,4,-3,Pelicans,0022300011,L
252,21,24,14,18,6,12,0,12,0,-1,-2,-3,-14,-2,0,Lakers,0022300015,W
253,22,26,17,32,8,12,1,13,0,1,2,3,14,2,0,Suns,0022300015,L
254,18,29,6,23,9,7,0,13,0,-2,2,-4,-5,3,-3,Thunder,0022300016,L
255,20,27,10,28,6,10,0,12,0,2,-2,4,5,-3,3,Kings,0022300016,W
256,17,27,9,18,5,7,0,13,0,-5,9,2,-3,-3,-2,Raptors,0022300174,L
257,22,18,7,21,8,9,1,11,0,5,-9,-2,3,3,2,Celtics,0022300174,W
258,19,19,16,15,9,15,1,13,0,-2,-5,-5,-10,3,1,Bucks,0022300173,L
259,21,24,21,25,6,14,1,11,0,2,5,5,10,-3,-1,Magic,0022300173,W
260,22,23,21,23,2,12,1,14,0,5,-3,5,-3,-7,-4,Cavaliers,0022300176,W
261,17,26,16,26,9,16,1,15,0,-5,3,-5,3,7,4,Warriors,0022300176,L
262,25,23,8,17,3,5,0,12,0,7,-1,0,-9,-9,-1,Heat,0022300175,W
263,18,24,8,26,12,6,0,11,0,-7,1,0,9,9,1,Hawks,0022300175,L
264,19,34,5,38,9,8,0,15,0,4,4,-4,18,4,3,Nets,0022300178,W
265,15,30,9,20,5,5,0,10,0,-4,-4,4,-18,-4,-3,Wizards,0022300178,L
266,19,20,13,22,9,8,2,14,0,0,-10,1,-6,1,-8,Timberwolves,0022300186,W
267,19,30,12,28,8,16,0,16,0,0,10,-1,6,-1,8,Warriors,0022300186,L
268,25,27,10,21,4,11,0,15,0,6,2,-5,-8,-7,1,Mavericks,0022300183,W
269,19,25,15,29,11,10,0,14,0,-6,-2,5,8,7,-1,Pelicans,0022300183,L
270,21,20,16,27,8,7,0,12,0,0,-5,7,14,7,-4,Suns,0022300185,L
271,21,25,9,13,1,11,0,11,0,0,5,-7,-14,-7,4,Thunder,0022300185,W
272,20,29,4,21,8,12,0,15,0,3,6,-8,-4,-2,3,Grizzlies,0022300179,W
273,17,23,12,25,10,9,0,13,0,-3,-6,8,4,2,-3,Clippers,0022300179,L
274,17,28,14,28,4,4,1,11,0,-4,-2,8,-3,-2,-6,Heat,0022300184,W
275,21,30,6,31,6,10,0,14,0,4,2,-8,3,2,6,Spurs,0022300184,L
276,17,28,10,23,6,7,0,13,0,-4,2,4,-3,0,-1,Rockets,0022300182,W
277,21,26,6,26,6,8,1,11,0,4,-2,-4,3,0,1,Nuggets,0022300182,L
278,22,23,15,21,5,8,2,9,0,0,1,7,3,-2,-4,Lakers,0022300187,W
279,22,22,8,18,7,12,0,9,0,0,-1,-7,-3,2,4,Trail Blazers,0022300187,L
280,26,23,14,24,7,9,0,9,0,3,2,3,10,1,0,76ers,0022300180,W
281,23,21,11,14,6,9,2,12,0,-3,-2,-3,-10,-1,0,Pacers,0022300180,L
282,18,28,9,30,10,10,1,13,0,-3,-3,1,6,7,1,Pistons,0022300181,L
283,21,31,8,24,3,9,1,11,0,3,3,-1,-6,-7,-1,Bulls,0022300181,W
284,26,24,7,18,2,7,0,10,0,3,5,2,1,-5,-6,Knicks,0022300177,W
285,23,19,5,17,7,13,0,16,0,-3,-5,-2,-1,5,6,Hornets,0022300177,L
286,21,21,4,20,4,6,0,8,0,0,-6,1,-2,2,-1,Celtics,0022300188,W
287,21,27,3,22,2,7,0,7,0,0,6,-1,2,-2,1,Knicks,0022300188,L
288,26,16,12,17,5,8,0,14,0,4,-4,2,-1,-2,-1,Kings,0022300191,W
289,22,20,10,18,7,9,1,16,0,-4,4,-2,1,2,1,Cavaliers,0022300191,L
